City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
491,Abu Dhabi,AE,91.63,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
493,Hirara,JP,79.07,moderate rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
495,Thinadhoo,MV,81.68,overcast clouds,0.5333,72.9333,
496,Rapid Valley,US,89.85,smoke,44.0625,-103.1463,Fairfield Inn & Suites by Marriott Rapid City
497,Kuching,MY,75.42,mist,1.55,110.3333,The Ranee Boutique Suites
498,Carutapera,BR,75.06,broken clouds,-1.195,-46.02,Lidera
503,Tabou,CI,76.6,overcast clouds,4.423,-7.3528,hotêl doufoulougou
504,Rosetta,EG,79.7,clear sky,31.4044,30.4164,Green Valley
508,Oriximina,BR,81.43,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
510,Biabou,VC,81.68,clear sky,13.2,-61.1333,Spring Garden Resort
511,Kardailovo,RU,75.43,few clouds,51.5386,53.9042,
513,Puerto Escondido,MX,86.68,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
519,Itoman,JP,82.42,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
520,Tucupita,VE,78.53,broken clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
521,Muisne,EC,77.34,broken clouds,0.6,-80.0333,Quinta Samay
522,High Level,CA,93.06,clear sky,58.5169,-117.136,Days Inn by Wyndham High Level
527,Kattivakkam,IN,84.29,overcast clouds,13.2167,80.3167,Euronova Freezer
531,Sabang,ID,82.31,overcast clouds,5.8933,95.3214,Hotel Citra
532,Gat,IL,84.4,clear sky,31.61,34.7642,OlusHome
533,Rudsar,IR,75.15,overcast clouds,37.1376,50.288,Hotel Bahar
535,Ciudad Bolivar,VE,81.57,few clouds,8.1222,-63.5497,Hotel Edi
537,Muroto,JP,77.04,broken clouds,33.2833,134.15,Oota Ryokan
540,Edd,ER,90.63,overcast clouds,13.9297,41.6925,
543,Marzuq,YE,81.64,overcast clouds,14.4,46.4667,
544,Petatlan,MX,88.34,few clouds,17.5167,-101.2667,Hotel California Petatlán
548,Chenghai,CN,81.72,overcast clouds,23.4632,116.768,Guangdong Hotel
559,Wagar,SD,79.88,overcast clouds,16.1525,36.2032,
561,Agua Branca,BR,86.23,overcast clouds,-5.8922,-42.6361,Água branca do Piauí pi
563,Abonnema,NG,76.98,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
567,Pataskala,US,78.62,few clouds,39.9956,-82.6743,Rona Homes
573,Umm Lajj,SA,87.58,clear sky,25.0213,37.2685,Moon light Furnished Units
574,Bairiki,KI,82.33,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
576,Lagunillas,VE,88.65,few clouds,10.1301,-71.2595,Casa de Beatriz y Chucho
580,Wattegama,LK,76.12,overcast clouds,6.7989,81.4808,
